01370475-a,301373402-s
01377488-a,301380414-s
01377488-a,301380414-s
01406180-a,301408930-a
01407235-v,none
01411919-a,301414776-s
01411919-a,301414776-s
01414137-a,301416974-s
01435891-a,301438766-s
01443402-a,301446293-s
01450084-a,300187511-s
01450888-a,301453667-s
01462461-a,301465383-s
01462461-a,301465383-s
01462461-a,301465383-s
01470649-a,301473564-s
01472790-a,301475933-s
01472790-a,301475933-s
01472790-a,301475933-s
01472790-a,301475933-s
01472790-a,301475933-s
01477711-a,301481018-s
01478353-a,301481660-s
01478353-a,301481660-s
01484342-a,301487649-s
01492061-a,301159816-s
01500672-a,301504351-s
01507992-a,301511671-s
01512527-a,301516279-s
01512909-a,301516806-s
01515525-a,301519608-s
01517526-a,301521609-s
01520655-a,301524775-s
01520655-a,301524775-s
01520655-a,301524775-s
01520655-a,301524775-s
01520655-a,301524775-s
01520655-a,301524775-s
01520655-a,301524775-s
01542071-a,301546238-a
01542252-a,301546419-a
01549185-a,300625237-a
01552162-a,301556519-s
01552255-a,301556612-s
01552255-a,301556612-s
01552255-a,301556612-s
01552634-a,301556991-s
01553340-a,301557697-s
01553340-a,301557697-s
01553494-a,301557851-s
01553629-a,301557986-a
01553925-a,301558282-s
01554063-a,301558420-s
01554230-a,301558587-s
01554412-a,301558769-s
01554940-a,301559333-s
01555416-a,301559809-a
01555732-a,301560125-a
01556061-a,301560454-a
01556355-a,301560748-a
01557120-a,301561513-a
01557386-a,301561779-a
01560165-a,301564558-s
01562167-a,301566560-s
01562284-a,301566677-s
01562284-a,301566677-s
01578683-a,301583091-s
01578856-a,301583264-s
01598859-a,301603441-s
01610261-a,301613579-s
01610261-a,301613579-s
01614778-a,301290974-s
01614988-a,301291360-s
01616474-a,301620626-a
01616798-a,301620950-s
01616891-a,301621043-s
01616891-a,301621043-s
01617004-a,301621156-s
01617144-a,301621296-s
01617255-a,301621407-s
01617410-a,301621562-s
01617591-a,301621743-s
01628200-a,none
01630033-a,301634094-s
01637583-a,301641725-s
01637583-a,301641725-s
01639973-a,301644115-s
01640261-a,301644403-s
01642951-a,301647393-s
01644541-a,301648983-s
01652601-a,301657043-s
01665457-a,301669663-a
01665581-a,301669663-a
01676350-a,301680944-s
01677623-a,301682215-s
01687965-a,301646326-s
01692512-a,301696965-s
01692512-a,301696965-s
01692640-a,301697093-s
01692786-a,301697239-a
01693189-a,301697642-s
01693585-a,301698038-s
01708049-a,301712502-s
01709081-a,301713534-s
01709081-a,301713534-s
01717471-a,301290284-s
01729384-a,301733616-s
01729384-a,301733616-s
01729384-a,301733616-s
01729819-a,301734051-s
01729819-a,301734051-s
01729819-a,301734051-s
01730329-a,301734561-s
01730820-a,301735069-s
01731108-a,301735357-s
01731351-a,301735600-a
01731786-a,301736035-s
01731882-a,301736131-s
01732012-a,301736261-s
01732012-a,301736261-s
01732131-a,301736380-s
01732855-a,301737104-s
01733189-a,301737438-s
01751609-a,301756107-s
01755508-a,301760020-s
01756166-a,301760678-s
01758194-a,301762706-s
01774720-a,301779265-s
01780104-v,201783082-v
01792573-a,301797082-s
01792573-a,301797082-s
01792573-a,301797082-s
01803247-a,300090922-s
01816195-a,301821480-s
01823948-a,301829434-s
01827261-a,none
01832108-a,301837826-s
01839317-a,301845232-s
01845002-a,301850926-s
01846049-a,301851973-a
01846204-a,301852128-a
01846204-a,301852128-a
01847242-a,301853170-s
01847864-a,301853792-s
01855446-a,301861341-s
01855446-a,301861341-s
01861648-a,301867588-s
01865043-a,301870993-s
01869258-a,301875208-s
01888765-a,301894864-s
01902003-a,301908115-s
01911589-a,301917970-s
01931034-a,301937433-s
01931203-a,301937602-s
01931203-a,301937602-s
01931203-a,301937602-s
01931807-a,301938223-s
01935139-a,301941731-s
01937992-v,none
01937994-a,301939402-a
01938322-a,301944939-s
01938508-a,301945125-s
01941383-a,301948000-s
01941383-a,301948000-s
01941814-a,301948431-s
01941814-a,301948431-s
01966740-a,301973805-s
01975671-a,301982735-s
01998535-a,302005635-s
02001406-a,302008502-s
02010441-a,302017537-s
02013630-a,302020726-s
02024022-a,302031273-s
02029047-a,302036425-s
02029047-a,302036425-s
02029438-a,302036816-s
02029438-a,302036816-s
02032730-a,302040137-s
02033323-a,302040730-s
02033556-a,302040963-s
02033556-a,302040963-s
02058379-a,302065783-s
02060359-a,302067763-s
02061307-a,302068711-a
02061487-a,302068891-a
02061678-a,302069082-s
02064427-a,302071831-s
02068174-a,302075578-s
02068730-a,302076134-s
02068730-a,302076134-s
02068730-a,302076134-s
02070491-a,302077895-s
02072806-a,302080210-s
02073678-a,302081082-s
02073678-a,302081082-s
02073834-a,302081238-s
02073834-a,302081238-s
02073834-a,302081238-s
02074673-a,302873340-a
02076988-a,302084118-s
02076988-a,302084118-s
02081933-a,302089079-s
02089724-a,302096869-s
02089811-a,101249473-n
02100236-a,302107516-s
02101240-a,302108520-s
02102178-a,302109458-s
02103052-a,302110332-s
02103052-a,302110332-s
02106366-a,302113646-s
02107386-a,302114666-s
02107386-a,302114666-s
02107420-n,none
02107827-a,302115107-s
02107827-a,302115107-s
02110161-a,302117441-s
02110317-a,302117597-s
02214518-a,302222187-s
02214518-a,302222187-s
02214518-a,302222187-s
02214736-a,302222405-s
02214736-a,302222405-s
02214736-a,302222405-s
02214736-a,302222405-s
02214736-a,302222405-s
02226661-a,none
02230324-a,302238069-s
02249766-a,302257510-s
02267308-a,302275064-a
02267686-a,302275443-s
02267686-a,302275443-s
02267686-a,302275443-s
02268133-a,302275890-s
02268268-a,302276025-s
02268485-a,302276242-a
02268882-a,302276640-s
02269039-a,302276797-s
02269142-a,302276900-s
02269286-a,302277044-a
02269635-a,302277394-s
02269794-a,302277553-s
02270057-a,302277816-s
02270186-a,302277945-s
02287175-a,302294907-s
02312060-a,302319740-a
02319034-a,302326712-s
02321575-a,302329347-s
02323204-a,301751468-s
02332204-a,302340196-s
02334973-a,302342965-s
02337558-a,302345628-s
02356048-a,302364604-s
02364066-a,302372634-s
02366365-a,302374933-s
02385726-a,302394294-s
02402439-a,302411163-s
02402439-a,302411163-s
02420085-a,302428859-s
02422663-v,200233707-v
02422663-v,200233707-v
02432154-a,302440966-s
02432154-a,302440966-s
02432154-a,302440966-s
02432154-a,302440966-s
02438831-a,302448035-s
02438831-a,302448035-s
02439949-a,302449153-a
02440184-a,302449388-s
02440292-a,302449496-s
02440461-a,302449665-s
02440461-a,302449665-s
02440461-a,302449665-s
02440617-a,302449821-s
02440691-a,302449895-a
02440881-a,302450085-s
02440881-a,302450085-s
02440881-a,302450085-s
02440996-a,none
02441132-a,302450336-s
02441215-a,302450419-a
02441373-a,302450577-s
02441469-a,302450673-s
02441469-a,302450673-s
02442765-a,300913487-s
02442765-a,300913487-s
02462375-a,302471603-s
02468208-a,302477431-s
02468208-a,302477431-s
02468453-a,302477676-s
02468538-a,302477761-s
02469577-a,302478817-s
02469577-a,302478817-s
02474377-a,302483852-s
02474876-a,302484351-s
02477691-a,302487166-s
02484208-a,302493886-a
02484530-a,302494208-s
02484530-a,302494208-s
02484530-a,302494208-s
02484638-a,302494316-s
02484638-a,302494316-s
02484638-a,302494316-s
02484919-a,302494597-s
02485050-a,302494728-s
02485168-a,302494846-s
02485319-a,302494997-s
02485488-a,302495166-s
02485488-a,302495166-s
02485650-a,302495328-a
02485895-a,302495573-s
02485895-a,302495573-s
02485895-a,302495573-s
02486046-a,302495724-s
02486122-a,302495800-s
02486122-a,302495800-s
02486248-a,302495926-s
02486248-a,302495926-s
02486425-a,302496103-s
02486504-a,302496182-s
02486628-a,302496306-s
02486628-a,302496306-s
02486797-a,302496475-s
02487414-a,302497092-s
02492383-a,302502061-s
02492981-a,302502659-s
02493300-a,302502978-s
02502016-a,302511965-s
02503900-a,302513945-s
02518926-a,none
02524900-a,302535059-s
02524900-a,302535059-s
02545484-a,302556254-s
02552646-a,302563416-s
02552646-a,302563416-s
02557023-a,302567793-s
02561752-a,302572482-s
02566644-a,302532138-s;301342529-s
02568076-a,302578632-s
